"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "CSS", "TypeScript", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\Blockimino\.vs\ProjectSettings.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\Blockimino\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\Blockimino\Bloques\Analogico\analogRead.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 7, 43
"c:\xampp\htdocs\Blockimino\Bloques\Analogico\analogReference.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\xampp\htdocs\Blockimino\Bloques\Analogico\analogWrite.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 7, 87
"c:\xampp\htdocs\Blockimino\Bloques\Digital\digitalRead.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 10, 44
"c:\xampp\htdocs\Blockimino\Bloques\Digital\digitalWrite.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 12, 60
"c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_case.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 12, 5, 39
"c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_dowhile.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 15, 5, 51
"c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_for.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 19, 9, 76
"c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_if.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 16, 6, 52
"c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_ifelse.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 18, 9, 66
"c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_switch.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 13, 4, 47
"c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_while.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 15, 4, 49
"c:\xampp\htdocs\Blockimino\Bloques\Funciones\function.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 5, 35, 177
"c:\xampp\htdocs\Blockimino\Bloques\Funciones\group_block.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 10, 3, 26
"c:\xampp\htdocs\Blockimino\Bloques\Funciones\interruption.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 2, 11, 61
"c:\xampp\htdocs\Blockimino\Bloques\Funciones\simple_text.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 1, 4, 19
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_autoscroll.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_blink.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_clear.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_cursor.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_display.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_home.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_leftRight.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_noAutoscroll.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_noBlink.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_noCursor.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_noDisplay.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_print.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 1, 2, 23
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_rightLeft.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_scrollLeft.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_scrollRight.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_setCursor.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 5, 2, 32
"c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_write.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\Blockimino\Bloques\Matematicas\abs.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 3, 26
"c:\xampp\htdocs\Blockimino\Bloques\Matematicas\constrain.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 2, 3, 36
"c:\xampp\htdocs\Blockimino\Bloques\Matematicas\map.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 2, 3, 46
"c:\xampp\htdocs\Blockimino\Bloques\Matematicas\max.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 2, 3, 31
"c:\xampp\htdocs\Blockimino\Bloques\Matematicas\min.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 2, 3, 31
"c:\xampp\htdocs\Blockimino\Bloques\Matematicas\pow.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\xampp\htdocs\Blockimino\Bloques\Matematicas\random.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 2, 2, 30
"c:\xampp\htdocs\Blockimino\Bloques\Matematicas\sq.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 2, 25
"c:\xampp\htdocs\Blockimino\Bloques\Matematicas\sqrt.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 2, 25
"c:\xampp\htdocs\Blockimino\Bloques\Operadores\arithmetic_operator.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\xampp\htdocs\Blockimino\Bloques\Operadores\boolean_operator.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"c:\xampp\htdocs\Blockimino\Bloques\Operadores\comparison_operator.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\Blockimino\Bloques\Operadores\updater_operator.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\xampp\htdocs\Blockimino\Bloques\Sensores\HC04_begin.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 6, 7, 39
"c:\xampp\htdocs\Blockimino\Bloques\Sensores\HC04_dist.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\xampp\htdocs\Blockimino\Bloques\Sensores\HC04_include.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 6, 11, 90
"c:\xampp\htdocs\Blockimino\Bloques\Sensores\HC04_loop.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 2, 7, 34
"c:\xampp\htdocs\Blockimino\Bloques\Sensores\LDR_include.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 13, 17, 99
"c:\xampp\htdocs\Blockimino\Bloques\Sensores\LDR_loop.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 2, 3, 21
"c:\xampp\htdocs\Blockimino\Bloques\Sensores\LDR_value.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 2, 18
"c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_available.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 1, 4, 21
"c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_end.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_flush.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_print.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_println.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_read.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_write.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\xampp\htdocs\Blockimino\Bloques\Setup\define.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 3, 34, 173
"c:\xampp\htdocs\Blockimino\Bloques\Setup\define_value.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\xampp\htdocs\Blockimino\Bloques\Setup\include.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 1, 5, 33
"c:\xampp\htdocs\Blockimino\Bloques\Setup\includeLCD.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 35, 22, 210
"c:\xampp\htdocs\Blockimino\Bloques\Setup\lcd_begin.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 4, 1, 33
"c:\xampp\htdocs\Blockimino\Bloques\Setup\pinMode.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 11, 59
"c:\xampp\htdocs\Blockimino\Bloques\Setup\serial_begin.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 3, 1, 32
"c:\xampp\htdocs\Blockimino\Bloques\Teclado\Teclado_include.js", "JavaScript", 0, 154, 0, 0, 0, 0, 0, 9, 20, 183
"c:\xampp\htdocs\Blockimino\Bloques\Teclado\Teclado_read.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 1, 2, 19
"c:\xampp\htdocs\Blockimino\Bloques\Teclado\Teclado_val.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 2, 18
"c:\xampp\htdocs\Blockimino\Bloques\Tiempo\delay.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 1, 4, 24
