Date : 2023-06-08 23:58:15
Directory : c:\xampp\htdocs\Blockimino
Total : 941 files,  121644 codes, 29295 comments, 8682 blanks, all 159621 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        343 |     77,199 |      2,301 |      3,782 |     83,282 |
| PHP        |        161 |     22,110 |      5,578 |      2,952 |     30,640 |
| CSS        |         11 |     14,074 |        251 |      1,427 |     15,752 |
| TypeScript |        417 |      7,785 |     21,165 |        402 |     29,352 |
| Markdown   |          3 |        236 |          0 |        111 |        347 |
| JSON       |          4 |        171 |          0 |          1 |        172 |
| XML        |          2 |         69 |          0 |          7 |         76 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        941 |    121,644 |     29,295 |      8,682 |    159,621 |
| . (Files)                                                                                                          |         53 |      8,124 |        943 |      1,055 |     10,122 |
| .vs                                                                                                                |          2 |         16 |          0 |          0 |         16 |
| Bloques                                                                                                            |         91 |      3,779 |        417 |        701 |      4,897 |
| Bloques\Analogico                                                                                                  |          3 |        140 |          0 |         16 |        156 |
| Bloques\Digital                                                                                                    |          2 |         82 |          0 |         22 |        104 |
| Bloques\EstructurasDeControl                                                                                       |          7 |        230 |        108 |         42 |        380 |
| Bloques\Funciones                                                                                                  |          4 |        212 |         18 |         53 |        283 |
| Bloques\LCD                                                                                                        |         17 |        303 |         27 |         35 |        365 |
| Bloques\Matematicas                                                                                                |          9 |        239 |         16 |         23 |        278 |
| Bloques\Operadores                                                                                                 |          4 |        117 |          0 |         16 |        133 |
| Bloques\Sensores                                                                                                   |          7 |        240 |         30 |         49 |        319 |
| Bloques\Serial                                                                                                     |          7 |        121 |          1 |         12 |        134 |
| Bloques\Setup                                                                                                      |          7 |        436 |         46 |         77 |        559 |
| Bloques\Teclado                                                                                                    |          3 |        185 |         11 |         24 |        220 |
| Bloques\Tiempo                                                                                                     |          4 |         76 |          4 |         14 |         94 |
| Bloques\Variables                                                                                                  |         17 |      1,398 |        156 |        318 |      1,872 |
| EasyVersion                                                                                                        |         93 |      4,575 |        469 |        850 |      5,894 |
| EasyVersion (Files)                                                                                                |          2 |        798 |         52 |        149 |        999 |
| EasyVersion\Bloques                                                                                                |         91 |      3,777 |        417 |        701 |      4,895 |
| EasyVersion\Bloques\Analogico                                                                                      |          3 |        139 |          0 |         16 |        155 |
| EasyVersion\Bloques\Digital                                                                                        |          2 |         82 |          0 |         22 |        104 |
| EasyVersion\Bloques\EstructurasDeControl                                                                           |          7 |        230 |        108 |         43 |        381 |
| EasyVersion\Bloques\Funciones                                                                                      |          4 |        212 |         18 |         53 |        283 |
| EasyVersion\Bloques\LCD                                                                                            |         17 |        300 |         27 |         35 |        362 |
| EasyVersion\Bloques\Matematicas                                                                                    |          9 |        239 |         16 |         23 |        278 |
| EasyVersion\Bloques\Operadores                                                                                     |          4 |        118 |          0 |         15 |        133 |
| EasyVersion\Bloques\Sensores                                                                                       |          7 |        240 |         30 |         49 |        319 |
| EasyVersion\Bloques\Serial                                                                                         |          7 |        121 |          1 |         12 |        134 |
| EasyVersion\Bloques\Setup                                                                                          |          7 |        437 |         46 |         77 |        560 |
| EasyVersion\Bloques\Teclado                                                                                        |          3 |        185 |         11 |         24 |        220 |
| EasyVersion\Bloques\Tiempo                                                                                         |          4 |         76 |          4 |         14 |         94 |
| EasyVersion\Bloques\Variables                                                                                      |         17 |      1,398 |        156 |        318 |      1,872 |
| Libraries                                                                                                          |        579 |     71,832 |     21,942 |      1,448 |     95,222 |
| Libraries (Files)                                                                                                  |         13 |      1,722 |        323 |        287 |      2,332 |
| Libraries\LibreriasBlocklyOficial                                                                                  |        564 |     67,552 |     21,599 |      1,142 |     90,293 |
| Libraries\LibreriasBlocklyOficial (Files)                                                                          |         30 |      6,336 |        228 |        135 |      6,699 |
| Libraries\LibreriasBlocklyOficial\closure                                                                          |          3 |          5 |         42 |          0 |         47 |
| Libraries\LibreriasBlocklyOficial\closure\goog                                                                     |          3 |          5 |         42 |          0 |         47 |
| Libraries\LibreriasBlocklyOficial\core                                                                             |        280 |      7,203 |     20,434 |          0 |     27,637 |
| Libraries\LibreriasBlocklyOficial\core (Files)                                                                     |        100 |      3,762 |     12,161 |          0 |     15,923 |
| Libraries\LibreriasBlocklyOficial\core\events                                                                      |         39 |        837 |      1,518 |          0 |      2,355 |
| Libraries\LibreriasBlocklyOficial\core\interfaces                                                                  |         33 |        267 |      1,064 |          0 |      1,331 |
| Libraries\LibreriasBlocklyOficial\core\keyboard_nav                                                                |          5 |        104 |        395 |          0 |        499 |
| Libraries\LibreriasBlocklyOficial\core\procedures                                                                  |          4 |         61 |        124 |          0 |        185 |
| Libraries\LibreriasBlocklyOficial\core\renderers                                                                   |         61 |      1,317 |      2,940 |          0 |      4,257 |
| Libraries\LibreriasBlocklyOficial\core\renderers\common                                                            |         10 |        521 |      1,328 |          0 |      1,849 |
| Libraries\LibreriasBlocklyOficial\core\renderers\geras                                                             |         10 |        204 |        328 |          0 |        532 |
| Libraries\LibreriasBlocklyOficial\core\renderers\geras (Files)                                                     |          8 |        188 |        294 |          0 |        482 |
| Libraries\LibreriasBlocklyOficial\core\renderers\geras\measurables                                                 |          2 |         16 |         34 |          0 |         50 |
| Libraries\LibreriasBlocklyOficial\core\renderers\measurables                                                       |         22 |        272 |        751 |          0 |      1,023 |
| Libraries\LibreriasBlocklyOficial\core\renderers\minimalist                                                        |          5 |         35 |         91 |          0 |        126 |
| Libraries\LibreriasBlocklyOficial\core\renderers\thrasos                                                           |          3 |         25 |         49 |          0 |         74 |
| Libraries\LibreriasBlocklyOficial\core\renderers\zelos                                                             |         11 |        260 |        393 |          0 |        653 |
| Libraries\LibreriasBlocklyOficial\core\renderers\zelos (Files)                                                     |          7 |        228 |        318 |          0 |        546 |
| Libraries\LibreriasBlocklyOficial\core\renderers\zelos\measurables                                                 |          4 |         32 |         75 |          0 |        107 |
| Libraries\LibreriasBlocklyOficial\core\serialization                                                               |          7 |        141 |        306 |          0 |        447 |
| Libraries\LibreriasBlocklyOficial\core\theme                                                                       |          3 |          7 |         29 |          0 |         36 |
| Libraries\LibreriasBlocklyOficial\core\toolbox                                                                     |          5 |        246 |        656 |          0 |        902 |
| Libraries\LibreriasBlocklyOficial\core\utils                                                                       |         23 |        461 |      1,241 |          0 |      1,702 |
| Libraries\LibreriasBlocklyOficial\media                                                                            |          2 |         69 |          0 |          7 |         76 |
| Libraries\LibreriasBlocklyOficial\msg                                                                              |        249 |     53,939 |        895 |      1,000 |     55,834 |
| Libraries\blockly                                                                                                  |          2 |      2,558 |         20 |         19 |      2,597 |
| PHPMailer                                                                                                          |         63 |      5,429 |      3,307 |        889 |      9,625 |
| PHPMailer (Files)                                                                                                  |          4 |        381 |         48 |        102 |        531 |
| PHPMailer\language                                                                                                 |         52 |      1,093 |        309 |        156 |      1,558 |
| PHPMailer\src                                                                                                      |          7 |      3,955 |      2,950 |        631 |      7,536 |
| assets                                                                                                             |         12 |     19,312 |        887 |      2,590 |     22,789 |
| assets\css                                                                                                         |          7 |     13,693 |        166 |      1,340 |     15,199 |
| assets\js                                                                                                          |          5 |      5,619 |        721 |      1,250 |      7,590 |
| config                                                                                                             |          1 |         14 |         22 |          9 |         45 |
| includes                                                                                                           |         47 |      8,563 |      1,308 |      1,140 |     11,011 |
| includes (Files)                                                                                                   |          1 |        244 |         48 |         55 |        347 |
| includes\classes                                                                                                   |          5 |      6,485 |        990 |        762 |      8,237 |
| includes\form_handlers                                                                                             |          3 |        354 |        161 |         98 |        613 |
| includes\handlers                                                                                                  |         38 |      1,480 |        109 |        225 |      1,814 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                           | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\Blockimino\.vs\ProjectSettings.json                                                                | JSON       |          3 |          0 |          0 |          3 |
| c:\xampp\htdocs\Blockimino\.vs\VSWorkspaceState.json                                                               | JSON       |         13 |          0 |          0 |         13 |
| c:\xampp\htdocs\Blockimino\Bloques\Analogico\analogRead.js                                                         | JavaScript |         36 |          0 |          7 |         43 |
| c:\xampp\htdocs\Blockimino\Bloques\Analogico\analogReference.js                                                    | JavaScript |         24 |          0 |          2 |         26 |
| c:\xampp\htdocs\Blockimino\Bloques\Analogico\analogWrite.js                                                        | JavaScript |         80 |          0 |          7 |         87 |
| c:\xampp\htdocs\Blockimino\Bloques\Digital\digitalRead.js                                                          | JavaScript |         34 |          0 |         10 |         44 |
| c:\xampp\htdocs\Blockimino\Bloques\Digital\digitalWrite.js                                                         | JavaScript |         48 |          0 |         12 |         60 |
| c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_case.js                                            | JavaScript |         22 |         12 |          5 |         39 |
| c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_dowhile.js                                         | JavaScript |         31 |         15 |          5 |         51 |
| c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_for.js                                             | JavaScript |         48 |         19 |          9 |         76 |
| c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_if.js                                              | JavaScript |         30 |         16 |          6 |         52 |
| c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_ifelse.js                                          | JavaScript |         39 |         18 |          9 |         66 |
| c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_switch.js                                          | JavaScript |         30 |         13 |          4 |         47 |
| c:\xampp\htdocs\Blockimino\Bloques\EstructurasDeControl\arduino_while.js                                           | JavaScript |         30 |         15 |          4 |         49 |
| c:\xampp\htdocs\Blockimino\Bloques\Funciones\function.js                                                           | JavaScript |        137 |          5 |         35 |        177 |
| c:\xampp\htdocs\Blockimino\Bloques\Funciones\group_block.js                                                        | JavaScript |         13 |         10 |          3 |         26 |
| c:\xampp\htdocs\Blockimino\Bloques\Funciones\interruption.js                                                       | JavaScript |         48 |          2 |         11 |         61 |
| c:\xampp\htdocs\Blockimino\Bloques\Funciones\simple_text.js                                                        | JavaScript |         14 |          1 |          4 |         19 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_autoscroll.js                                                           | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_blink.js                                                                | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_clear.js                                                                | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_cursor.js                                                               | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_display.js                                                              | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_home.js                                                                 | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_leftRight.js                                                            | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_noAutoscroll.js                                                         | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_noBlink.js                                                              | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_noCursor.js                                                             | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_noDisplay.js                                                            | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_print.js                                                                | JavaScript |         20 |          1 |          2 |         23 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_rightLeft.js                                                            | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_scrollLeft.js                                                           | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_scrollRight.js                                                          | JavaScript |         17 |          1 |          2 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_setCursor.js                                                            | JavaScript |         25 |          5 |          2 |         32 |
| c:\xampp\htdocs\Blockimino\Bloques\LCD\lcd_write.js                                                                | JavaScript |         20 |          7 |          3 |         30 |
| c:\xampp\htdocs\Blockimino\Bloques\Matematicas\abs.js                                                              | JavaScript |         21 |          2 |          3 |         26 |
| c:\xampp\htdocs\Blockimino\Bloques\Matematicas\constrain.js                                                        | JavaScript |         31 |          2 |          3 |         36 |
| c:\xampp\htdocs\Blockimino\Bloques\Matematicas\map.js                                                              | JavaScript |         41 |          2 |          3 |         46 |
| c:\xampp\htdocs\Blockimino\Bloques\Matematicas\max.js                                                              | JavaScript |         26 |          2 |          3 |         31 |
| c:\xampp\htdocs\Blockimino\Bloques\Matematicas\min.js                                                              | JavaScript |         26 |          2 |          3 |         31 |
| c:\xampp\htdocs\Blockimino\Bloques\Matematicas\pow.js                                                              | JavaScript |         26 |          0 |          2 |         28 |
| c:\xampp\htdocs\Blockimino\Bloques\Matematicas\random.js                                                           | JavaScript |         26 |          2 |          2 |         30 |
| c:\xampp\htdocs\Blockimino\Bloques\Matematicas\sq.js                                                               | JavaScript |         21 |          2 |          2 |         25 |
| c:\xampp\htdocs\Blockimino\Bloques\Matematicas\sqrt.js                                                             | JavaScript |         21 |          2 |          2 |         25 |
| c:\xampp\htdocs\Blockimino\Bloques\Operadores\arithmetic_operator.js                                               | JavaScript |         28 |          0 |          3 |         31 |
| c:\xampp\htdocs\Blockimino\Bloques\Operadores\boolean_operator.js                                                  | JavaScript |         39 |          0 |          4 |         43 |
| c:\xampp\htdocs\Blockimino\Bloques\Operadores\comparison_operator.js                                               | JavaScript |         29 |          0 |          3 |         32 |
| c:\xampp\htdocs\Blockimino\Bloques\Operadores\updater_operator.js                                                  | JavaScript |         21 |          0 |          6 |         27 |
| c:\xampp\htdocs\Blockimino\Bloques\Sensores\HC04_begin.js                                                          | JavaScript |         26 |          6 |          7 |         39 |
| c:\xampp\htdocs\Blockimino\Bloques\Sensores\HC04_dist.js                                                           | JavaScript |         16 |          0 |          2 |         18 |
| c:\xampp\htdocs\Blockimino\Bloques\Sensores\HC04_include.js                                                        | JavaScript |         73 |          6 |         11 |         90 |
| c:\xampp\htdocs\Blockimino\Bloques\Sensores\HC04_loop.js                                                           | JavaScript |         25 |          2 |          7 |         34 |
| c:\xampp\htdocs\Blockimino\Bloques\Sensores\LDR_include.js                                                         | JavaScript |         69 |         13 |         17 |         99 |
| c:\xampp\htdocs\Blockimino\Bloques\Sensores\LDR_loop.js                                                            | JavaScript |         16 |          2 |          3 |         21 |
| c:\xampp\htdocs\Blockimino\Bloques\Sensores\LDR_value.js                                                           | JavaScript |         15 |          1 |          2 |         18 |
| c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_available.js                                                      | JavaScript |         16 |          1 |          4 |         21 |
| c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_end.js                                                            | JavaScript |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_flush.js                                                          | JavaScript |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_print.js                                                          | JavaScript |         19 |          0 |          1 |         20 |
| c:\xampp\htdocs\Blockimino\Bloques\Serial\serial_println.js                                                        | JavaScript |         19 |          0 |          1 |         20 |
